book	abrev	booknum	totalchap
Genesis	Ge	1	50
Exodus	Exo	2	40
Leviticus	Lev	3	27
Numbers	Num	4	36
Deuteronomy	Deu	5	34
Joshua	Josh	6	24
Judges	Jdgs	7	21
Ruth	Ruth	8	4
1 Samuel	1Sm	9	31
2 Samuel	2Sm	10	24
1 Kings	1Ki	11	22
2 Kings	2Ki	12	25
1 Chronicles	1Chr	13	29
2 Chronicles	2Chr	14	36
Ezra	Ezra	15	10
Nehemiah	Neh	16	13
Esther	Est	17	10
Job	Job	18	42
Psalms	Psa	19	150
Proverbs	Prv	20	31
Ecclesiastes	Eccl	21	12
Song of Solomon	SSol	22	8
Isaiah	Isa	23	66
Jeremiah	Jer	24	52
Lamentations	Lam	25	5
Ezekiel	Eze	26	48
Daniel	Dan	27	12
Hosea	Hos	28	14
Joel	Joel	29	3
Amos	Amos	30	9
Obadiah	Obad	31	1
Jonah	Jonah	32	4
Micah	Mic	33	7
Nahum	Nahum	34	3
Habakkuk	Hab	35	3
Zephaniah	Zep	36	3
Haggai	Hag	37	2
Zechariah	Zec	38	14
Malachi	Mal	39	4
Matthew	Mat	40	28
Mark	Mark	41	16
Luke	Luke	42	24
John	John	43	21
The Acts	Acts	44	28
Romans	Rom	45	16
1 Corinthians	1Cor	46	16
2 Corinthians	2Cor	47	13
Galatians	Gal	48	6
Ephesians	Eph	49	6
Philippians	Phi	50	4
Colossians	Col	51	4
1 Thessalonians	1Th	52	5
2 Thessalonians	2Th	53	3
1 Timothy	1Tim	54	6
2 Timothy	2Tim	55	4
Titus	Titus	56	3
Philemon	Phmn	57	1
Hebrews	Heb	58	13
James	Jas	59	5
1 Peter	1Pet	60	5
2 Peter	2Pet	61	3
1 John	1Jn	62	5
2 John	2Jn	63	1
3 John	3Jn	64	1
Jude	Jude	65	1
Revelation	Rev	66	22
